genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster,sample,Treat_Control,Time_Point,Plot,Depth
15_20.bin.11.strict.fa,127_1,0.03,average,ANImf,127,ZhuHai_15_20,treatment,0,20,20
20_30.bin.50.orig.fa,127_1,0.03,average,ANImf,127,ZhuHai_20_30,treatment,0,30,30
30_40.bin.142.orig.fa,127_1,0.03,average,ANImf,127,ZhuHai_30_40,treatment,0,40,40
40_50.bin.145.strict.fa,127_1,0.03,average,ANImf,127,ZhuHai_40_50,treatment,0,50,50
50_60.bin.110.strict.fa,127_1,0.03,average,ANImf,127,ZhuHai_50_60,treatment,0,60,60
60_80.bin.110.strict.fa,127_1,0.03,average,ANImf,127,ZhuHai_60_80,treatment,0,80,80
10_15.bin.83.orig.fa,128_1,0.03,average,ANImf,128,ZhuHai_10_15,treatment,0,15,15
15_20.bin.103.orig.fa,128_1,0.03,average,ANImf,128,ZhuHai_15_20,treatment,0,20,20
20_30.bin.190.orig.fa,128_1,0.03,average,ANImf,128,ZhuHai_20_30,treatment,0,30,30
20_30.bin.58.orig.fa,129_1,0.03,average,ANImf,129,ZhuHai_20_30,treatment,0,30,30
30_40.bin.94.orig.fa,129_1,0.03,average,ANImf,129,ZhuHai_30_40,treatment,0,40,40
40_50.bin.36.strict.fa,129_1,0.03,average,ANImf,129,ZhuHai_40_50,treatment,0,50,50
50_60.bin.59.strict.fa,129_1,0.03,average,ANImf,129,ZhuHai_50_60,treatment,0,60,60
60_80.bin.59.strict.fa,129_1,0.03,average,ANImf,129,ZhuHai_60_80,treatment,0,80,80
15_20.bin.48.strict.fa,129_2,0.03,average,ANImf,129,ZhuHai_15_20,treatment,0,20,20
0_5.bin.49.permissive.fa,130_1,0.03,average,ANImf,130,ZhuHai_0_5,treatment,0,5,5
5_10.bin.89.strict.fa,130_1,0.03,average,ANImf,130,ZhuHai_5_10,treatment,0,10,10
5_10.bin.31.strict.fa,131_0,0.03,average,ANImf,131,ZhuHai_5_10,treatment,0,10,10
20_30.bin.2.orig.fa,132_0,0.03,average,ANImf,132,ZhuHai_20_30,treatment,0,30,30
30_40.bin.98.orig.fa,133_0,0.03,average,ANImf,133,ZhuHai_30_40,treatment,0,40,40
0_5.bin.65.strict.fa,134_1,0.03,average,ANImf,134,ZhuHai_0_5,treatment,0,5,5
10_15.bin.30.orig.fa,134_1,0.03,average,ANImf,134,ZhuHai_10_15,treatment,0,15,15
15_20.bin.51.orig.fa,134_1,0.03,average,ANImf,134,ZhuHai_15_20,treatment,0,20,20
20_30.bin.132.strict.fa,134_1,0.03,average,ANImf,134,ZhuHai_20_30,treatment,0,30,30
5_10.bin.103.orig.fa,134_1,0.03,average,ANImf,134,ZhuHai_5_10,treatment,0,10,10
20_30.bin.156.orig.fa,135_0,0.03,average,ANImf,135,ZhuHai_20_30,treatment,0,30,30
10_15.bin.99.orig.fa,136_1,0.03,average,ANImf,136,ZhuHai_10_15,treatment,0,15,15
15_20.bin.33.strict.fa,136_1,0.03,average,ANImf,136,ZhuHai_15_20,treatment,0,20,20
0_5.bin.67.orig.fa,137_0,0.03,average,ANImf,137,ZhuHai_0_5,treatment,0,5,5
20_30.bin.147.permissive.fa,138_0,0.03,average,ANImf,138,ZhuHai_20_30,treatment,0,30,30
30_40.bin.153.strict.fa,139_1,0.03,average,ANImf,139,ZhuHai_30_40,treatment,0,40,40
50_60.bin.81.strict.fa,139_1,0.03,average,ANImf,139,ZhuHai_50_60,treatment,0,60,60
60_80.bin.81.strict.fa,139_1,0.03,average,ANImf,139,ZhuHai_60_80,treatment,0,80,80
5_10.bin.96.strict.fa,140_0,0.03,average,ANImf,140,ZhuHai_5_10,treatment,0,10,10
60_80.bin.69.strict.fa,141_0,0.03,average,ANImf,141,ZhuHai_60_80,treatment,0,80,80
10_15.bin.27.strict.fa,142_1,0.03,average,ANImf,142,ZhuHai_10_15,treatment,0,15,15
15_20.bin.141.orig.fa,142_1,0.03,average,ANImf,142,ZhuHai_15_20,treatment,0,20,20
20_30.bin.40.strict.fa,142_1,0.03,average,ANImf,142,ZhuHai_20_30,treatment,0,30,30
40_50.bin.81.permissive.fa,142_1,0.03,average,ANImf,142,ZhuHai_40_50,treatment,0,50,50
50_60.bin.19.orig.fa,142_1,0.03,average,ANImf,142,ZhuHai_50_60,treatment,0,60,60
60_80.bin.19.orig.fa,142_1,0.03,average,ANImf,142,ZhuHai_60_80,treatment,0,80,80
0_5.bin.92.strict.fa,143_1,0.03,average,ANImf,143,ZhuHai_0_5,treatment,0,5,5
5_10.bin.2.strict.fa,143_1,0.03,average,ANImf,143,ZhuHai_5_10,treatment,0,10,10
20_30.bin.84.orig.fa,144_0,0.03,average,ANImf,144,ZhuHai_20_30,treatment,0,30,30
0_5.bin.82.strict.fa,145_0,0.03,average,ANImf,145,ZhuHai_0_5,treatment,0,5,5
80_100.bin.168.orig.fa,146_0,0.03,average,ANImf,146,ZhuHai_80_100,treatment,0,100,100
40_50.bin.187.strict.fa,147_0,0.03,average,ANImf,147,ZhuHai_40_50,treatment,0,50,50
5_10.bin.4.strict.fa,148_0,0.03,average,ANImf,148,ZhuHai_5_10,treatment,0,10,10
0_5.bin.24.orig.fa,149_0,0.03,average,ANImf,149,ZhuHai_0_5,treatment,0,5,5
10_15.bin.151.permissive.fa,150_0,0.03,average,ANImf,150,ZhuHai_10_15,treatment,0,15,15
0_5.bin.66.strict.fa,151_1,0.03,average,ANImf,151,ZhuHai_0_5,treatment,0,5,5
10_15.bin.107.orig.fa,151_1,0.03,average,ANImf,151,ZhuHai_10_15,treatment,0,15,15
15_20.bin.37.orig.fa,151_1,0.03,average,ANImf,151,ZhuHai_15_20,treatment,0,20,20
20_30.bin.121.orig.fa,151_1,0.03,average,ANImf,151,ZhuHai_20_30,treatment,0,30,30
5_10.bin.10.orig.fa,151_1,0.03,average,ANImf,151,ZhuHai_5_10,treatment,0,10,10
10_15.bin.4.orig.fa,152_1,0.03,average,ANImf,152,ZhuHai_10_15,treatment,0,15,15
15_20.bin.94.permissive.fa,152_1,0.03,average,ANImf,152,ZhuHai_15_20,treatment,0,20,20
5_10.bin.108.orig.fa,152_1,0.03,average,ANImf,152,ZhuHai_5_10,treatment,0,10,10
40_50.bin.193.permissive.fa,153_1,0.03,average,ANImf,153,ZhuHai_40_50,treatment,0,50,50
50_60.bin.11.orig.fa,153_1,0.03,average,ANImf,153,ZhuHai_50_60,treatment,0,60,60
60_80.bin.11.orig.fa,153_1,0.03,average,ANImf,153,ZhuHai_60_80,treatment,0,80,80
80_100.bin.90.strict.fa,153_1,0.03,average,ANImf,153,ZhuHai_80_100,treatment,0,100,100
20_30.bin.59.orig.fa,154_1,0.03,average,ANImf,154,ZhuHai_20_30,treatment,0,30,30
40_50.bin.15.orig.fa,154_1,0.03,average,ANImf,154,ZhuHai_40_50,treatment,0,50,50
50_60.bin.147.orig.fa,154_1,0.03,average,ANImf,154,ZhuHai_50_60,treatment,0,60,60
60_80.bin.147.strict.fa,154_1,0.03,average,ANImf,154,ZhuHai_60_80,treatment,0,80,80
30_40.bin.127.strict.fa,155_0,0.03,average,ANImf,155,ZhuHai_30_40,treatment,0,40,40
80_100.bin.125.orig.fa,156_0,0.03,average,ANImf,156,ZhuHai_80_100,treatment,0,100,100
10_15.bin.128.orig.fa,157_1,0.03,average,ANImf,157,ZhuHai_10_15,treatment,0,15,15
15_20.bin.79.orig.fa,157_1,0.03,average,ANImf,157,ZhuHai_15_20,treatment,0,20,20
20_30.bin.101.strict.fa,157_1,0.03,average,ANImf,157,ZhuHai_20_30,treatment,0,30,30
30_40.bin.130.strict.fa,157_1,0.03,average,ANImf,157,ZhuHai_30_40,treatment,0,40,40
40_50.bin.116.orig.fa,157_1,0.03,average,ANImf,157,ZhuHai_40_50,treatment,0,50,50
50_60.bin.187.strict.fa,157_1,0.03,average,ANImf,157,ZhuHai_50_60,treatment,0,60,60
5_10.bin.105.orig.fa,157_1,0.03,average,ANImf,157,ZhuHai_5_10,treatment,0,10,10
60_80.bin.187.orig.fa,157_1,0.03,average,ANImf,157,ZhuHai_60_80,treatment,0,80,80
80_100.bin.85.strict.fa,158_0,0.03,average,ANImf,158,ZhuHai_80_100,treatment,0,100,100
15_20.bin.82.strict.fa,159_1,0.03,average,ANImf,159,ZhuHai_15_20,treatment,0,20,20
20_30.bin.75.strict.fa,159_1,0.03,average,ANImf,159,ZhuHai_20_30,treatment,0,30,30
40_50.bin.119.strict.fa,159_1,0.03,average,ANImf,159,ZhuHai_40_50,treatment,0,50,50
50_60.bin.79.strict.fa,159_1,0.03,average,ANImf,159,ZhuHai_50_60,treatment,0,60,60
60_80.bin.79.orig.fa,159_1,0.03,average,ANImf,159,ZhuHai_60_80,treatment,0,80,80
10_15.bin.97.strict.fa,160_1,0.03,average,ANImf,160,ZhuHai_10_15,treatment,0,15,15
15_20.bin.80.orig.fa,160_1,0.03,average,ANImf,160,ZhuHai_15_20,treatment,0,20,20
20_30.bin.5.orig.fa,160_1,0.03,average,ANImf,160,ZhuHai_20_30,treatment,0,30,30
5_10.bin.49.strict.fa,160_1,0.03,average,ANImf,160,ZhuHai_5_10,treatment,0,10,10
15_20.bin.16.orig.fa,161_1,0.03,average,ANImf,161,ZhuHai_15_20,treatment,0,20,20
20_30.bin.162.strict.fa,161_1,0.03,average,ANImf,161,ZhuHai_20_30,treatment,0,30,30
50_60.bin.166.strict.fa,162_1,0.03,average,ANImf,162,ZhuHai_50_60,treatment,0,60,60
60_80.bin.166.orig.fa,162_1,0.03,average,ANImf,162,ZhuHai_60_80,treatment,0,80,80
0_5.bin.32.strict.fa,163_1,0.03,average,ANImf,163,ZhuHai_0_5,treatment,0,5,5
10_15.bin.79.orig.fa,163_1,0.03,average,ANImf,163,ZhuHai_10_15,treatment,0,15,15
20_30.bin.91.orig.fa,163_1,0.03,average,ANImf,163,ZhuHai_20_30,treatment,0,30,30
30_40.bin.73.orig.fa,163_1,0.03,average,ANImf,163,ZhuHai_30_40,treatment,0,40,40
50_60.bin.51.strict.fa,163_1,0.03,average,ANImf,163,ZhuHai_50_60,treatment,0,60,60
5_10.bin.15.strict.fa,163_1,0.03,average,ANImf,163,ZhuHai_5_10,treatment,0,10,10
60_80.bin.51.orig.fa,163_1,0.03,average,ANImf,163,ZhuHai_60_80,treatment,0,80,80
20_30.bin.185.orig.fa,164_0,0.03,average,ANImf,164,ZhuHai_20_30,treatment,0,30,30
0_5.bin.40.orig.fa,165_1,0.03,average,ANImf,165,ZhuHai_0_5,treatment,0,5,5
30_40.bin.70.orig.fa,165_1,0.03,average,ANImf,165,ZhuHai_30_40,treatment,0,40,40
40_50.bin.181.strict.fa,165_1,0.03,average,ANImf,165,ZhuHai_40_50,treatment,0,50,50
50_60.bin.148.strict.fa,165_1,0.03,average,ANImf,165,ZhuHai_50_60,treatment,0,60,60
5_10.bin.113.orig.fa,165_1,0.03,average,ANImf,165,ZhuHai_5_10,treatment,0,10,10
60_80.bin.148.strict.fa,165_1,0.03,average,ANImf,165,ZhuHai_60_80,treatment,0,80,80
80_100.bin.9.orig.fa,165_1,0.03,average,ANImf,165,ZhuHai_80_100,treatment,0,100,100
0_5.bin.114.permissive.fa,166_1,0.03,average,ANImf,166,ZhuHai_0_5,treatment,0,5,5
10_15.bin.149.permissive.fa,166_1,0.03,average,ANImf,166,ZhuHai_10_15,treatment,0,15,15
5_10.bin.100.orig.fa,166_1,0.03,average,ANImf,166,ZhuHai_5_10,treatment,0,10,10
10_15.bin.63.orig.fa,167_1,0.03,average,ANImf,167,ZhuHai_10_15,treatment,0,15,15
15_20.bin.129.permissive.fa,167_1,0.03,average,ANImf,167,ZhuHai_15_20,treatment,0,20,20
10_15.bin.147.strict.fa,168_1,0.03,average,ANImf,168,ZhuHai_10_15,treatment,0,15,15
5_10.bin.17.orig.fa,168_1,0.03,average,ANImf,168,ZhuHai_5_10,treatment,0,10,10
0_5.bin.25.orig.fa,169_1,0.03,average,ANImf,169,ZhuHai_0_5,treatment,0,5,5
15_20.bin.36.strict.fa,169_1,0.03,average,ANImf,169,ZhuHai_15_20,treatment,0,20,20
5_10.bin.6.orig.fa,169_1,0.03,average,ANImf,169,ZhuHai_5_10,treatment,0,10,10
40_50.bin.22.strict.fa,170_0,0.03,average,ANImf,170,ZhuHai_40_50,treatment,0,50,50
30_40.bin.19.orig.fa,171_1,0.03,average,ANImf,171,ZhuHai_30_40,treatment,0,40,40
50_60.bin.17.orig.fa,171_1,0.03,average,ANImf,171,ZhuHai_50_60,treatment,0,60,60
60_80.bin.17.orig.fa,171_1,0.03,average,ANImf,171,ZhuHai_60_80,treatment,0,80,80
10_15.bin.15.orig.fa,172_1,0.03,average,ANImf,172,ZhuHai_10_15,treatment,0,15,15
20_30.bin.48.orig.fa,172_1,0.03,average,ANImf,172,ZhuHai_20_30,treatment,0,30,30
5_10.bin.74.orig.fa,172_1,0.03,average,ANImf,172,ZhuHai_5_10,treatment,0,10,10
10_15.bin.122.orig.fa,173_1,0.03,average,ANImf,173,ZhuHai_10_15,treatment,0,15,15
15_20.bin.12.orig.fa,173_1,0.03,average,ANImf,173,ZhuHai_15_20,treatment,0,20,20
20_30.bin.79.orig.fa,173_1,0.03,average,ANImf,173,ZhuHai_20_30,treatment,0,30,30
30_40.bin.137.orig.fa,173_1,0.03,average,ANImf,173,ZhuHai_30_40,treatment,0,40,40
15_20.bin.116.strict.fa,174_0,0.03,average,ANImf,174,ZhuHai_15_20,treatment,0,20,20
15_20.bin.174.orig.fa,175_0,0.03,average,ANImf,175,ZhuHai_15_20,treatment,0,20,20
20_30.bin.32.orig.fa,176_0,0.03,average,ANImf,176,ZhuHai_20_30,treatment,0,30,30
20_30.bin.14.strict.fa,177_1,0.03,average,ANImf,177,ZhuHai_20_30,treatment,0,30,30
80_100.bin.187.orig.fa,177_1,0.03,average,ANImf,177,ZhuHai_80_100,treatment,0,100,100
20_30.bin.4.strict.fa,178_1,0.03,average,ANImf,178,ZhuHai_20_30,treatment,0,30,30
40_50.bin.170.strict.fa,178_1,0.03,average,ANImf,178,ZhuHai_40_50,treatment,0,50,50
50_60.bin.111.strict.fa,178_1,0.03,average,ANImf,178,ZhuHai_50_60,treatment,0,60,60
60_80.bin.111.strict.fa,178_1,0.03,average,ANImf,178,ZhuHai_60_80,treatment,0,80,80
10_15.bin.121.orig.fa,179_0,0.03,average,ANImf,179,ZhuHai_10_15,treatment,0,15,15
20_30.bin.184.orig.fa,180_0,0.03,average,ANImf,180,ZhuHai_20_30,treatment,0,30,30
0_5.bin.87.strict.fa,181_1,0.03,average,ANImf,181,ZhuHai_0_5,treatment,0,5,5
10_15.bin.44.orig.fa,181_1,0.03,average,ANImf,181,ZhuHai_10_15,treatment,0,15,15
15_20.bin.42.strict.fa,181_1,0.03,average,ANImf,181,ZhuHai_15_20,treatment,0,20,20
20_30.bin.96.orig.fa,181_1,0.03,average,ANImf,181,ZhuHai_20_30,treatment,0,30,30
5_10.bin.73.orig.fa,181_1,0.03,average,ANImf,181,ZhuHai_5_10,treatment,0,10,10
60_80.bin.65.strict.fa,182_0,0.03,average,ANImf,182,ZhuHai_60_80,treatment,0,80,80
80_100.bin.96.orig.fa,183_0,0.03,average,ANImf,183,ZhuHai_80_100,treatment,0,100,100
30_40.bin.74.strict.fa,184_1,0.03,average,ANImf,184,ZhuHai_30_40,treatment,0,40,40
40_50.bin.89.orig.fa,184_1,0.03,average,ANImf,184,ZhuHai_40_50,treatment,0,50,50
0_5.bin.56.permissive.fa,185_0,0.03,average,ANImf,185,ZhuHai_0_5,treatment,0,5,5
20_30.bin.129.strict.fa,186_1,0.03,average,ANImf,186,ZhuHai_20_30,treatment,0,30,30
30_40.bin.148.permissive.fa,186_1,0.03,average,ANImf,186,ZhuHai_30_40,treatment,0,40,40
40_50.bin.80.orig.fa,186_1,0.03,average,ANImf,186,ZhuHai_40_50,treatment,0,50,50
50_60.bin.33.permissive.fa,186_1,0.03,average,ANImf,186,ZhuHai_50_60,treatment,0,60,60
60_80.bin.33.permissive.fa,186_1,0.03,average,ANImf,186,ZhuHai_60_80,treatment,0,80,80
80_100.bin.63.strict.fa,186_1,0.03,average,ANImf,186,ZhuHai_80_100,treatment,0,100,100
40_50.bin.29.orig.fa,187_1,0.03,average,ANImf,187,ZhuHai_40_50,treatment,0,50,50
80_100.bin.42.permissive.fa,187_1,0.03,average,ANImf,187,ZhuHai_80_100,treatment,0,100,100
30_40.bin.140.orig.fa,188_0,0.03,average,ANImf,188,ZhuHai_30_40,treatment,0,40,40
10_15.bin.45.strict.fa,189_1,0.03,average,ANImf,189,ZhuHai_10_15,treatment,0,15,15
15_20.bin.107.permissive.fa,189_1,0.03,average,ANImf,189,ZhuHai_15_20,treatment,0,20,20
20_30.bin.81.orig.fa,189_1,0.03,average,ANImf,189,ZhuHai_20_30,treatment,0,30,30
5_10.bin.60.strict.fa,189_1,0.03,average,ANImf,189,ZhuHai_5_10,treatment,0,10,10
40_50.bin.138.orig.fa,190_0,0.03,average,ANImf,190,ZhuHai_40_50,treatment,0,50,50
80_100.bin.16.orig.fa,191_0,0.03,average,ANImf,191,ZhuHai_80_100,treatment,0,100,100
10_15.bin.102.strict.fa,192_1,0.03,average,ANImf,192,ZhuHai_10_15,treatment,0,15,15
15_20.bin.15.orig.fa,192_1,0.03,average,ANImf,192,ZhuHai_15_20,treatment,0,20,20
0_5.bin.46.strict.fa,193_1,0.03,average,ANImf,193,ZhuHai_0_5,treatment,0,5,5
5_10.bin.36.orig.fa,193_1,0.03,average,ANImf,193,ZhuHai_5_10,treatment,0,10,10
80_100.bin.13.strict.fa,194_0,0.03,average,ANImf,194,ZhuHai_80_100,treatment,0,100,100
30_40.bin.82.permissive.fa,195_0,0.03,average,ANImf,195,ZhuHai_30_40,treatment,0,40,40
80_100.bin.15.orig.fa,196_0,0.03,average,ANImf,196,ZhuHai_80_100,treatment,0,100,100
30_40.bin.81.strict.fa,197_1,0.03,average,ANImf,197,ZhuHai_30_40,treatment,0,40,40
40_50.bin.77.strict.fa,197_1,0.03,average,ANImf,197,ZhuHai_40_50,treatment,0,50,50
50_60.bin.2.orig.fa,197_1,0.03,average,ANImf,197,ZhuHai_50_60,treatment,0,60,60
60_80.bin.2.orig.fa,197_1,0.03,average,ANImf,197,ZhuHai_60_80,treatment,0,80,80
20_30.bin.89.orig.fa,198_0,0.03,average,ANImf,198,ZhuHai_20_30,treatment,0,30,30
10_15.bin.78.strict.fa,199_0,0.03,average,ANImf,199,ZhuHai_10_15,treatment,0,15,15
30_40.bin.124.orig.fa,200_0,0.03,average,ANImf,200,ZhuHai_30_40,treatment,0,40,40
80_100.bin.115.strict.fa,201_0,0.03,average,ANImf,201,ZhuHai_80_100,treatment,0,100,100
10_15.bin.67.orig.fa,202_1,0.03,average,ANImf,202,ZhuHai_10_15,treatment,0,15,15
15_20.bin.154.strict.fa,202_1,0.03,average,ANImf,202,ZhuHai_15_20,treatment,0,20,20
20_30.bin.85.strict.fa,202_1,0.03,average,ANImf,202,ZhuHai_20_30,treatment,0,30,30
30_40.bin.102.strict.fa,202_1,0.03,average,ANImf,202,ZhuHai_30_40,treatment,0,40,40
30_40.bin.136.permissive.fa,203_1,0.03,average,ANImf,203,ZhuHai_30_40,treatment,0,40,40
40_50.bin.127.permissive.fa,203_1,0.03,average,ANImf,203,ZhuHai_40_50,treatment,0,50,50
50_60.bin.5.permissive.fa,203_1,0.03,average,ANImf,203,ZhuHai_50_60,treatment,0,60,60
60_80.bin.5.strict.fa,203_1,0.03,average,ANImf,203,ZhuHai_60_80,treatment,0,80,80
20_30.bin.49.strict.fa,204_0,0.03,average,ANImf,204,ZhuHai_20_30,treatment,0,30,30
60_80.bin.98.strict.fa,205_0,0.03,average,ANImf,205,ZhuHai_60_80,treatment,0,80,80
30_40.bin.97.strict.fa,206_1,0.03,average,ANImf,206,ZhuHai_30_40,treatment,0,40,40
40_50.bin.75.strict.fa,206_1,0.03,average,ANImf,206,ZhuHai_40_50,treatment,0,50,50
50_60.bin.101.strict.fa,206_1,0.03,average,ANImf,206,ZhuHai_50_60,treatment,0,60,60
60_80.bin.101.strict.fa,206_1,0.03,average,ANImf,206,ZhuHai_60_80,treatment,0,80,80
80_100.bin.76.strict.fa,206_1,0.03,average,ANImf,206,ZhuHai_80_100,treatment,0,100,100
40_50.bin.179.permissive.fa,207_1,0.03,average,ANImf,207,ZhuHai_40_50,treatment,0,50,50
80_100.bin.93.strict.fa,207_1,0.03,average,ANImf,207,ZhuHai_80_100,treatment,0,100,100
80_100.bin.138.permissive.fa,208_0,0.03,average,ANImf,208,ZhuHai_80_100,treatment,0,100,100
10_15.bin.52.orig.fa,209_1,0.03,average,ANImf,209,ZhuHai_10_15,treatment,0,15,15
15_20.bin.7.strict.fa,209_1,0.03,average,ANImf,209,ZhuHai_15_20,treatment,0,20,20
20_30.bin.116.strict.fa,209_1,0.03,average,ANImf,209,ZhuHai_20_30,treatment,0,30,30
40_50.bin.144.strict.fa,210_1,0.03,average,ANImf,210,ZhuHai_40_50,treatment,0,50,50
50_60.bin.178.orig.fa,210_1,0.03,average,ANImf,210,ZhuHai_50_60,treatment,0,60,60
60_80.bin.178.strict.fa,210_1,0.03,average,ANImf,210,ZhuHai_60_80,treatment,0,80,80
80_100.bin.27.strict.fa,210_1,0.03,average,ANImf,210,ZhuHai_80_100,treatment,0,100,100
20_30.bin.111.orig.fa,211_0,0.03,average,ANImf,211,ZhuHai_20_30,treatment,0,30,30
30_40.bin.101.strict.fa,212_0,0.03,average,ANImf,212,ZhuHai_30_40,treatment,0,40,40
40_50.bin.20.strict.fa,213_0,0.03,average,ANImf,213,ZhuHai_40_50,treatment,0,50,50
30_40.bin.43.orig.fa,214_1,0.03,average,ANImf,214,ZhuHai_30_40,treatment,0,40,40
40_50.bin.6.orig.fa,214_1,0.03,average,ANImf,214,ZhuHai_40_50,treatment,0,50,50
80_100.bin.10.strict.fa,214_1,0.03,average,ANImf,214,ZhuHai_80_100,treatment,0,100,100
10_15.bin.142.orig.fa,215_1,0.03,average,ANImf,215,ZhuHai_10_15,treatment,0,15,15
15_20.bin.75.orig.fa,215_1,0.03,average,ANImf,215,ZhuHai_15_20,treatment,0,20,20
10_15.bin.123.orig.fa,216_0,0.03,average,ANImf,216,ZhuHai_10_15,treatment,0,15,15
15_20.bin.93.orig.fa,217_0,0.03,average,ANImf,217,ZhuHai_15_20,treatment,0,20,20
5_10.bin.109.orig.fa,218_0,0.03,average,ANImf,218,ZhuHai_5_10,treatment,0,10,10
80_100.bin.43.strict.fa,219_0,0.03,average,ANImf,219,ZhuHai_80_100,treatment,0,100,100
0_5.bin.123.permissive.fa,220_0,0.03,average,ANImf,220,ZhuHai_0_5,treatment,0,5,5
30_40.bin.24.permissive.fa,221_0,0.03,average,ANImf,221,ZhuHai_30_40,treatment,0,40,40
20_30.bin.10.strict.fa,222_1,0.03,average,ANImf,222,ZhuHai_20_30,treatment,0,30,30
40_50.bin.74.strict.fa,222_1,0.03,average,ANImf,222,ZhuHai_40_50,treatment,0,50,50
50_60.bin.62.orig.fa,222_1,0.03,average,ANImf,222,ZhuHai_50_60,treatment,0,60,60
60_80.bin.62.orig.fa,222_1,0.03,average,ANImf,222,ZhuHai_60_80,treatment,0,80,80
40_50.bin.10.strict.fa,223_1,0.03,average,ANImf,223,ZhuHai_40_50,treatment,0,50,50
50_60.bin.67.strict.fa,223_1,0.03,average,ANImf,223,ZhuHai_50_60,treatment,0,60,60
5_10.bin.50.strict.fa,223_1,0.03,average,ANImf,223,ZhuHai_5_10,treatment,0,10,10
60_80.bin.67.orig.fa,223_1,0.03,average,ANImf,223,ZhuHai_60_80,treatment,0,80,80
80_100.bin.127.permissive.fa,224_0,0.03,average,ANImf,224,ZhuHai_80_100,treatment,0,100,100
80_100.bin.192.orig.fa,225_0,0.03,average,ANImf,225,ZhuHai_80_100,treatment,0,100,100
0_5.bin.6.strict.fa,226_0,0.03,average,ANImf,226,ZhuHai_0_5,treatment,0,5,5
10_15.bin.81.permissive.fa,227_0,0.03,average,ANImf,227,ZhuHai_10_15,treatment,0,15,15
80_100.bin.25.orig.fa,228_0,0.03,average,ANImf,228,ZhuHai_80_100,treatment,0,100,100
